title,synopsis,genre_id
Elfaria,Strategy RPG with unique unit fusions and magical warfare.,
Elfaria II - The Quest of the Meld,Sequel with deeper mechanics and continued fantasy storyline.,
Elite Soccer,International soccer game with arcade-style gameplay.,
Emerald Dragon,Story-driven RPG with anime visuals and turn-based combat.,
Emit Vol. 1 - Toki no Maigo,Visual novel with time travel themes and voice acting.,
Emit Vol. 2 - Inochigake no Tabi,Second chapter in the sci-fi VN series with expanding narrative.,
Emit Vol. 3 - Watashi ni Sayonara o,"Conclusion to the Emit trilogy, blending drama and romance.",
Emmitt Smith Football,NFL sim featuring Emmitt Smith and strategic playcalling.,
Energy Breaker,"Tactical RPG with rich story, elemental magic, and branching paths.",
Equinox,Isometric action-puzzle game with exploration and tricky platforming.,
Esparks - Ijikuu Kara no Raihousha,Japan-exclusive fantasy RPG with unique sprite style and time-travel story.,
ESPN Baseball Tonight,Licensed baseball game with real teams and ESPN-style presentation.,
ESPN National Hockey Night,Ice hockey sim with realistic mechanics and full season mode.,
ESPN Speedworld,NASCAR-style racing with ESPN overlays and stat tracking.,
ESPN Sunday Night NFL,American football sim with real teams and broadcast-style visuals.,
Excitebike: Bun Bun Mario Battle Stadium,Mario-themed Excitebike racer with classic track building.,
Extra Innings | Hakunetsu Pro Yakyuu: Ganba League,Baseball game with team editing and arcade gameplay.,
F-1 Grand Prix,Formula 1 racing sim with detailed tracks and team management.,
F-1 Grand Prix - Part II,Improved sequel with better handling and new F1 teams.,
F-1 Grand Prix - Part III,Further refinement with added realism and expanded options.,
F-Zero,"Futuristic racing game with high speed, Mode 7 graphics, and iconic tracks.",
F1 Pole Position 2,Licensed F1 racer with official teams and fast-paced gameplay.,
F1 ROC: Race of Champions,Realistic F1 sim with car upgrades and global circuits.,
F1 World Championship Edition,F1 sim with 1994 season cars and teams.,
F1-ROC II: Race of Champions,Sequel with improved graphics and expanded customization.,
Famicom Bunko: Hajimari no Mori,Visual novel adventure set in a nostalgic Japanese countryside.,
Famicom Detective Club - Part II: Ushiro ni Tatsu Shoujo,Murder mystery visual novel with branching choices.,
Family Dog,Platformer based on the cartoon; play as a dog navigating domestic chaos.,
Family Feud,Game show adaptation with survey-based trivia gameplay.,
Farland Story,Strategy RPG with fantasy setting and turn-based tactical battles.,
Farland Story 2,Continuation with new heroes and larger maps.,
Fatal Fury,Classic SNK fighting game introducing Terry Bogard and story-driven combat.,
Fatal Fury 2,"Sequel with faster action, new characters, and improved controls.",
Fatal Fury Special,Enhanced version combining characters from FF1 and FF2 with rebalanced gameplay.,
FEDA: The Emblem of Justice,Tactical RPG similar to Fire Emblem with moral alignment choices.,
FIFA 97: Gold Edition,Soccer sim with updated teams and smoother animations.,
FIFA 98: Road to World Cup,International soccer game with full World Cup qualification mode.,
FIFA International Soccer,First entry in the FIFA series with isometric view and licensed teams.,
FIFA Soccer 96,Early 3D-style FIFA with real players and clubs.,
Fighter's History,Street Fighter clone with unique characters and quirky humor.,
Fighter's History: Mizoguchi Kikiippatsu!!,Sequel focusing on Mizoguchi with new moves and story mode.,
Final Fantasy II,US name for FFIV; introduces deep characters and Active Time Battle system.,
Final Fantasy IV,Classic JRPG with strong narrative and emotional storytelling.,
Final Fantasy V,Job system-based RPG with endless customization and rich world-building.,
Final Fantasy VI,"Epic JRPG set in a steampunk fantasy world, featuring powerful storytelling and the debut of the celebrated “ATB” system.",
Final Fantasy: Mystic Quest,Simplified RPG designed as an accessible entry to the genre for beginners.,
Final Fight,Classic beat‑’em‑up where a hero fights through Urban jungles to rescue a kidnapped person.,
Final Fight 2,Sequel that brings co‑op action and new characters battling a revived evil syndicate.,
Final Fight 3,Enhanced graphics and combat combos in the final chapter of the series on SNES.,
Final Fight Guy,Alternate version of Final Fight featuring Guy as the main playable character.,
Final Stretch,Racing game with contemporary cars and realistic track dynamics.,
Finalset,Puzzle game involving line manipulation to fit shapes and complete patterns.,
Fire Emblem: Monsho No Nazo,Tactical strategy RPG introducing permanent unit death and grid-based combat.,
Fire Emblem: Seisen No Keifu,Sequel with branching storylines and deeper tactical mechanics.,
Fire Emblem: Thracia 776,Gritty tactical RPG known for its high difficulty and stealth mechanics.,
Fire Pro Joshi All Star Dream Slam,Women’s pro wrestling sim featuring anime-style presentation.,
Firestriker,Hybrid action-puzzle game combining pinball mechanics with sword combat in a fantasy setting.,
First Queen - Ornic Senki,Grand strategy RPG where you command armies and manage kingdoms.,
First Samurai,Stylish action-platformer where a samurai travels through time to defeat evil.,
Fishing Koushien,Fishing sim with tournament-style gameplay and realistic techniques.,
Flashback: The Quest for Identity,Cinematic action-adventure with rotoscoped animation and sci-fi narrative.,
Flying Hero: Bugyuru's Adventure,Platformer starring a flying hero on whimsical earthbound quests.,
Football Fury,American football arcade game with extra speed and over‑the‑top moves.,
Foreman for Real,Boxing sim featuring George Foreman; emphasizes realism and punch impact.,
Fortune Quest - Dice o Korogase,Strategy RPG with dice-based mechanics and humor within a fantasy world.,
Frank Thomas Big Hurt Baseball,Baseball sim featuring real MLB players and team-based management.,
Frantic Flea,Wacky platformer where a flea hero navigates surreal environments to defeat his nemesis.,
Frogger,Classic arcade-style action game where you guide frogs across hazards to reach safety.,
Front Mission,Tactical mech RPG with grid-based combat and unit customization.,
Front Mission: Gun Hazard,Side-scrolling action RPG set in the mecha universe with real-time combat.,
Full Throttle Racing,High-speed futuristic kart racer with weapon pickups and tricky circuits.,
Fun 'n Games,"Cassette‑based compilation of mini-games featuring drawing, puzzles and reflex challenges.",
Funaki Masakatsu Hybrid Wrestler: Tougi Denshou,Wrestling game featuring real wrestler Funaki Masakatsu in hybrid combat.,
Fune Tarou,Simple boat‑steering game with cute graphics and basic challenges.,
Furuta Atsuya no Simulation Pro Yakyuu 2,Baseball management sim focusing on realistic team strategies.,
Fushigi no Dungeon 2: Fuurai no Shiren,Challenging roguelike dungeon crawler with permadeath and deep mechanics.,
G.O.D.: Mezameyo to Yobu Koe ga Kikoe,Adventure game where mysterious voices guide a dreamlike investigation.,
Gaia Saver - Hero Saidai no Sakusen,Strategy RPG with hex-based combat and hero-powered special attacks.,
Gakkou de Atta Kowai Hanashi,Collection of horror stories presented as interactive ghost tales in a school.,
Galaxy Robo,Shoot-’em‑up with transformable mecha battling in space-themed levels.,
Galaxy Wars,Space shooter with alien invasions and wave-based progression.,
Gambler Jiko Chuushinha 2: Dorapon Quest,Slot-style RPG where gambling outcomes influence a fantasy journey.,
Gambler Jiko Chuushinha: Mahjong Ooisen,Slot machine meets mahjong in a casino-themed puzzle battle.,
Gambling Hourouki,Sim-style title that walks you through highs and lows of gambling life.,
Game no Tatsujin,Compilation of skill-based mini-games spanning genres like timing and reflex.,
Game no Tetsujin - The Shanghai,Mahjong puzzle game with traditional rules and solo play.,
Gamera - Gyaos Gekimetsu Sakusen,Action game featuring Godzilla-like giant turtle in city-smashing combat.,
Ganbare Goemon 2: Kiteretsu Shougun Magginesu,Humor-laced action-adventure in feudal Japan with gadgets and platforming.,
Ganbare Goemon 3: Shishi Juurokubei no Karakuri Manjigatame,"Enhanced sequel with deeper exploration, quirky humor, and puzzles.",
Ganbare Goemon Kirakira Douchuu: Boku ga Dancer ni Natta Wake,Rhythm-action adventure where Goemon becomes a dancer across Japan.,
Ganbare! Daiku no Gen-san,Puzzle-platformer starring a carpenter Gen-san in industrious level challenges.,
Gangan Gan-chan,Mini-game collection with quirky arcade‑style challenges and quickplay fun.,
Ganpuru: Gunman's Proof,Western-themed action RPG with open‑world elements and sidequests.,
Ganso Pachi-Slot Nihonichi,Authentic pachislot simulation replicating classic slot machines.,
Ganso Pachinko Ou,Realistic pachinko simulator with realistic physics and gameplay variations.,
Gdleen,Fantasy RPG with turn-based combat and anime-influenced storytelling.,
Gegege no Kitarou: Fukkatsu! Tenma Daiou,Action RPG based on manga featuring ghostly battles and traditional Japan settings.,
Gekisou Sentai Carranger: Zenkai! Racer Senshi,Racing game themed after the Sentai series with character-driven courses.,
Gekitotsu Dangan Jidousha Kessen - Battle Mobile,Top-down car combat game with explosive weapons and power-ups.,
Gekitou Burning Pro Wres,Hyper-stylized wrestling game with arcade combat and dramatic slams.,
Gemfire,Tactical fantasy strategy with kingdoms vying for power via warfare and diplomacy.,
Genghis Khan II: Clan of the Grey Wolf,Historic strategy game managing Mongol tribes toward world conquest.,
Genjuu Ryodan,RPG with supernatural creature taming and turn-based battles in modern-fantasy Japan.,
Genocide 2,Dark action-adventure with brutal combat and horror elements.,
George Foreman's KO Boxing,Affordable boxing sim focusing on cloth-shattering punch power.,
Gerry Anderson's Thunderbirds - Kokusai Kyuujotai Shutsudou Seyo!!,Rescue mission game based on the Thunderbirds series.,
Get in the Hole,Mini golf sim with casual courses and simple controls.,
Getsumen no Anubis,Action shooter with Egyptian-themed visuals and mythical enemy designs.,
Ghost Chaser Densei,Action-adventure with occult detective themes and side-scrolling battles.,
Ghost Sweeper Mikami: Joreishi wa Nice Body,Lighthearted action beat‑’em‑up based on manga about ghost hunters.,
Ghoul Patrol,Sequel to Zombies Ate My Neighbors with horror‑themed run‑and‑gun gameplay.,
Gindama Oyakata no Pachinko Hisshouhou,Pachinko guide sim teaching strategies and techniques for players.,
Ginga Eiyuu Densetsu,Grand strategy RPG based on space opera with fleet battles and political intrigue.,
Ginga Sengoku Gunyuuden Rai,Vertical shooter mixed with mecha anime tropes and intense action.,
Gionbana,Japanese hanafuda card game simulation with traditional rules and solo challenges.,
Go Go Ackman,Fast-paced platformer starring a demon-slaying kid in comedic stages.,
Go Go Ackman 2,Sequel with more platforming antics and level variety.,
Go Go Ackman 3,Final game with improved graphics and demon-hunting mechanics.,
Go! Go! Dodge League,Sports action where you dodge and throw balls in energetic team matches.,
Gods,"Mythical platformer with Norse lore, platforming puzzles, and atmospheric music.",
Godzilla: Kaijuu Daikessen,Beat‑’em‑up where Godzilla smashes kaiju through destructive cityscapes.,
Gokinjo Boukentai,Educational action adventure teaching geography via platform challenges.,
Gokujou Parodius,Madcap shoot‑’em‑up parody with over-the-top humor and weird power-ups.,
Golf Daisuki! O.B. Club,Golf sim with casual style and exaggerated swing mechanics.,
GON,Platformer starring a tiny dinosaur battling in a world of larger creatures.,
Goof Troop,Puzzle‑adventure based on the cartoon; solve item‑based puzzles with co‑op support.,
Goofy to Max: Kaizoku-jima no Daibouken,Side‑scrolling adventure on pirate island with classic Disney humor.,
Gouketsuji Ichizoku,Violent wrestling fighting game with weapon pickups and blood-splatter effects.,
Gourmet Sentai Bara Yarou,Cooking‑battle game with food-based attacks and over-the-top characters.,
GP-1,Street-level motorcycle racing sim with realistic physics and time trials.,
GP-1: Part II,"Sequel with upgraded bikes, tracks, and smoother control.",
Gradius III,Challenging shoot‑em‑up with iconic power‑up system and expansive levels.,
Granhistoria - Genshi Sekaiki,Fantasy RPG with turn-based combat and a coming-of-age storyline.,
The Firemen,Action-squirt game where firefighters save people and extinguish fires with teamwork.,
The Flintstones,Cartoon platformer with family-friendly humor and prehistoric adventures.,
The Flintstones: The Treasure of the Sierra Madrock,Cartoon adventure with rock-slinging puzzles and Barney sidekick.,
The Great Battle Gaiden 2: Matsuri da Wasshoi,RPG crossover with festival-themed battles starring various Namco heroes.,
The Great Battle II: Last Fighter Twin,Beat‑’em‑up featuring pop culture superheroes teaming up.,
The Great Battle III,Action-RPG crossover with deeper mechanics and team building.,
The Great Battle IV,Expanded RPG team action with soldier customization.,
The Great Battle V,Final team-based RPG beat-’em‑up with story-driven battles.,
The Great Circus Mystery Starring Mickey & Minnie,Puzzle-platformer with Disney duo solving circus riddles.,
The Great Waldo Search,Hidden-object adventure mirroring the book’s art and puzzles.,
GT Racing,Rally racing game with course challenges and time-based scoring.,
GunForce,Run‑and‑gun arcade port featuring cooperative combat and relentless enemy waves.,
Habu Meijin no Omoshiro Shougi,Shogi (Japanese chess) variation with puzzles and grandmaster commentary.,
Hagane: The Final Conflict,Fast‑paced action-platformer with cybernetic hero in neon city levels.,
Haisei Mahjong - Ryouga,Japanese mahjong sim with realistic tiles and multiple play rules.,
Hakunetsu Pro Yakyuu '93 - Ganba League,Arcade-style baseball with team editing and exaggerated hits.,
Hakunetsu Pro Yakyuu '94 - Ganba League 3,Sequel with enhanced player control and league mechanics.,
Hal's Hole in One Golf,Golf sim focused on realistic physics and detailed courses.,
HammerLock Wrestling,Colorful wrestling game with exaggerated moves and strong grappling.,
Hana no Keiji - Kumo no Kanata ni,Action-RPG based on manga with deep historical storyline and character arcs.,
Hanafuda Ou,Digital card game preserving the traditional Japanese Hanafuda rules.,
Hanguk Pro Yagu,Korean professional baseball game with realistic team rosters and league play.,
Hanjuku Eiyuu - Aah Sekai yo Hanjuku Nare,Comedic RPG parodying classic fantasy tropes with lighthearted quests.,
Haou Taikei Ryuu Knight: Lord of Paladin,Strategy RPG with armored units and mechanical warfare.,
HardBall III,"Baseball sim with detailed stats, team management, and fast pitching.",
Harley's Humongous Adventure,Platformer starring a baby escaping a monster-filled toy factory.,
Harukanaru Augusta 2 - Masters,Golf sim focused on Augusta course with tournament precision.,
Harukanaru Augusta 3 - Masters New,Enhanced sequel with updated visuals and new challenges.,
Harvest Moon,"Farming sim where you build a life on the farm—planting crops, raising animals, and loving the seasons.",
Hashire Hebereke,Racing minigame featuring characters from the Hebereke series in goofy kart races.,
Hat Trick Hero 2,Intense ice hockey game with unique arenas and power moves.,
Hatayama Hatch no Pro Yakyuu News! - Jitsumei Ban,Baseball game with news-style commentary and real-time stats.,
Hayashi Kaihou Kudan no Igo Oodou,Interactive Go game with lessons and puzzle scenarios guided by a pro player.,
Hayazashi Nidan Morita Shougi,Fast-paced two-piece shogi variant emphasizing speed and tactics.,
Hayazashi Nidan Morita Shougi 2,Sequel with more puzzles and unlockable shogi variants.,
Head-On Soccer | Fever Pitch Soccer,Arcade soccer with simultaneous action and arcade-style controls.,
Hebereke no Oishii Puzzle wa Irimasenka,Cute puzzle game featuring Hebereke characters cooking up tile-matching fun.,
Hebereke no Popoon,Bizarre versus puzzle matching with comedic Hebereke rascals.,
Hebereke's Popoitto,Competitive puzzle spinoff with multiplayer puzzling action.,
Heian Fuuunden,Adventure game set in Heian-era Japan with folklore and supernatural elements.,
Heisei Inu Monogatari Bow - Pop'n Smash!!,Baseball-puzzle hybrid starring a dog hero solving levels with bat swings.,
Heisei Shin Onigashima: Kouhen,Visual novel adventure based on Japanese folktales with choices and illustration.,
Heisei Shin Onigashima: Zenpen,Earlier portion of the folktale-based VN with rich storytelling presentation.,
Heiwa Pachinko World,Relaxing pachinko game with realistic machine simulation.,
Heiwa Pachinko World 2,Sequel with more pachinko parlor options and upgraded visuals.,
Heiwa Pachinko World 3,Expanded pachinko sim with varied machine designs and modes.,
Heiwa Parlor! Mini 8 - Pachinko Jikki Simulation Game,Mini-collection of compact pachinko simulations.,
Heracles no Eikou III: Kamigami no Chinmoku,RPG with Greek myth elements and character development through quests.,
Heracles no Eikou IV: Kamigami Kara no Okurimono,Sequel with deeper narrative and expanded mythic themes.,
Hero Senki - Project Olympus,Tactical mecha RPG blending super robot anime characters into strategic battle.,
Hi no Ouji - Yamato Takeru,Action RPG based on Japanese legend with transformative hero powers.,
Higashio Osamu Kanshuu Super Pro Yakyuu Stadium,Baseball sim overseen by famed player Osamu Higashio with expert commentary.,
Hiouden: Mamono-tachi to no Chikai,Dark fantasy RPG with demon contracts and branching story.,
Hiryuu no Ken S,Fighting game in the Hiryuu series with traditional martial arts mechanics.,
Hissatsu Pachinko Collection,Series of pachinko simulation titles featuring various themes and machine models.,
Hissatsu Pachinko Collection 2,Series of pachinko simulation titles featuring various themes and machine models.,
Hissatsu Pachinko Collection 3,Series of pachinko simulation titles featuring various themes and machine models.,
Hissatsu Pachinko Collection 4,Series of pachinko simulation titles featuring various themes and machine models.,
Hisshou 777 Fighter - Pachi-Slot Ryuuguu Densetsu,Themed slot-based fighting sim with legend-inspired designs.,
Hisshou 777 Fighter II - Pachi-Slot Maruhi Jouhou,Sequel blending slot mechanics with flashy fighter tropes.,
Hisshou 777 Fighter III - Kokuryuu Ou no Fukkatsu,Third installment with enhanced slot and battle aesthetics.,
Hisshou Pachi-Slot Fun,Lighthearted pachislot game with carnival-style animations.,
Hit the Ice: VHL - The Official Video Hockey League,Arcade hockey with stylized graphics and team-based action.,
Hokuto no Ken 5: Tenma Ryuuseiden Ai Zesshou,Beat-’em‑ups based on the Fist of the North Star manga with over-the-top combos and story arcs.,
Hokuto no Ken 6: Gekitou Denshouken Haou heno Michi,Beat-’em‑ups based on the Fist of the North Star manga with over-the-top combos and story arcs.,
Hokuto no Ken 7: Seiken Retsuden Denshousha e no Michi,Beat-’em‑ups based on the Fist of the North Star manga with over-the-top combos and story arcs.,
Holy Umbrella: Dondera no Mubou!!,Quirky action game where you defend a village using umbrellas.,
Home Alone,Platformer recreating booby-trapped house and mischievous kid tactics.,
Home Alone 2: Lost in New York,Sequel with New York’s cold cityscape and creative traps.,
Home Improvement: Power Tool Pursuit!,Game where you use tools as weapons in chaotic neighborhoods.,
Honkaku Mahjong - Tetsuman,Authentic mahjong simulators with teaching mode and serious play.,
Honkaku Mahjong - Tetsuman 2,Authentic mahjong simulators with teaching mode and serious play.,
Honkaku Shougi: Fuuunji Ryuuou,Serious shogi simulator with strong AI and professional hint system.,
Honkakuha Igo - Gosei,Classic Go board game simulation with multiple rule sets and opponents.,
Honke Hanafuda,Traditional Japanese card game recreation with digital scoring and multipayer.,
Honke Sankyo Fever - Jikki Simulation,Pachinko sims featuring various themed machines from Sankyo series.,
Honke Sankyo Fever 2 - Jikki Simulation,Pachinko sims featuring various themed machines from Sankyo series.,
Honke Sankyo Fever 3 - Jikki Simulation,Pachinko sims featuring various themed machines from Sankyo series.,
Honoo no Toukyuuji: Dodge Danpei,Dodgeball sports game with anime art and exaggerated action.,
Hook,Platformer based on the film featuring acrobatic Peter Pan-style adventures.,
Houkago in Beppin Jogakuin,Visual novel set in an all-girls school focusing on friendships and daily drama.,
Hourai Gakuen no Bouken!,School-life RPG where you explore and uncover mysteries in a fantasy high school.,
Human Baseball,Sports sim where you control human players in exaggerated baseball matches.,
Human Grand Prix II | F1 Pole Position 2,Series of F1-style racing sims with progression through Grand Prix seasons.,
Human Grand Prix III - F1 Triple Battle,Series of F1-style racing sims with progression through Grand Prix seasons.,
Human Grand Prix IV - F1 Dream Battle,Series of F1-style racing sims with progression through Grand Prix seasons.,
Human Grand Prix | F1 Pole Position,Series of F1-style racing sims with progression through Grand Prix seasons.,
Hungry Dinosaurs,Fun platformer where dinosaurs gobble up enemies in prehistoric settings.,
Hurricanes,Racing game with high-speed car combat and checkpoint challenges.,
Hyper Iria,"Action RPG based on anime, featuring magical girl combat in productivity‑driven levels.",
Hyper V-Ball,Volleyball arcade game with fast volleys and power serves.,
HyperZone,Arcade-style space shooter with vector graphics and pulse-pounding pace.,
Idea no Hi,Brain-training puzzle game mixing logic puzzles with quirky mini-challenges.,
Igo Club,Digital shogi (Go) club sim with lessons and tournament play.,
Ihatovo Monogatari,Whimsical RPG inspired by Miyazawa’s Iwate countryside with heartfelt narrative.,
Illusion of Gaia,Action RPG where Will transforms into heroes to explore ruins like the Great Wall and Pyramids.,
Illvanian no Shiro,"Strategy RPG where you move units on a grid, summon creatures that evolve with experience—akin to Ogre Battle or Fire Emblem.",
Imperium | Kidou Soukou Dion,"Vertical scrolling shooter where you pilot a mech, gain weapons and health via XP-based upgrades, and battle an alien invasion.",
Inazuma Serve da! Super Beach Volley,Anime‑style volleyball game with energetic beach matches and character-based special moves.,
Incantation,Fantasy action platformer where you cast spells to navigate levels and defeat enemies.,
Indiana Jones' Greatest Adventures,Adventure game retelling iconic moments from the Indiana Jones films in cinematic platformer action.,
Inindo: Way of the Ninja,Light-hearted RPG where you restore feudal Japan as a wandering ninja using strategy and humor.,
Inspector Gadget,Cartoon adventure where you solve crimes using gadget-based platforming and stealth.,
International Sensible Soccer - World Champions,Fast top-down soccer sim with responsive controls and international tournament mode.,
International Superstar Soccer,Realistic soccer sim with individual player control and team tactics.,
The Humans,Puzzle-platformer where cavemen stack and solve physics challenges to reach new heights.,
The Hunt for Red October,Submarine stealth game based on the book and movie; navigate sonar and pursue objectives.,
The Ignition Factor,Firefighting simulation where you rescue civilians and extinguish fires in dynamic environments.,
The Incredible Crash Dummies,Platformer inspired by toy line where safety antics lead to zany stunts.,
The Incredible Hulk,Beat-’em‑up action starring the Hulk smashing through urban landscapes.,
International Superstar Soccer Deluxe,"Enhanced ISS with more teams, leagues, and refined controls.",
International Tennis Tour,Tournament tennis sim with realistic swing mechanics and competition.,
Iron Commando: Koutetsu no Senshi,Beat‑’em‑up with gritty urban combat and cybernetic foes.,
Isozuri - Ritou Hen,"Fishing sim set on remote islands, focusing on catching rare species in realistic conditions.",
Itadaki Street 2: Neon Sign wa Barairo ni,Board game-style strategy with stock trading and real estate mechanics in a neon-lit city.,
Itoi Shigesato no Bass Tsuri No. 1,Lighthearted fishing sim designed by famed creator Shigesato Itoi—relaxing gameplay and diverse locations.,
Itou Hatasu Rokudan no Shougi Doujou,Shogi (Japanese chess) training game featuring expert commentary from pro Itou Hatasu at six-dan level.,
Izzy's Quest for the Olympic Rings,"Platformer where Izzy searches for Olympic rings across themed levels, blending action and puzzle elements.",
J.League '96 Dream Stadium,Soccer sim featuring J.League teams in 1996 season; fast arcade-oriented matches.,
J.League Excite Stage '95,High-energy soccer game capturing the 1995 J.League action with simple controls and flashy visuals.,
J.League Excite Stage '96,"Sequel with updated rosters, refined graphics, and more responsive gameplay.",
J.League Soccer - Prime Goal,Arcade-style soccer featuring J.League teams in fast-paced exhibition matches.,
J.League Soccer - Prime Goal 2,"Follow-up with improved animations, expanded team roster, and more strategic options.",
J.League Super Soccer '94 | Virtual Soccer,"Top-down soccer sim with a strategic focus, embodying the European-style gameplay tradition.",
J.League Super Soccer '95 - Jikkyou Stadium,Broadcast-style soccer sim with real-time commentary and immersive J.League presentation.,
Jack Nicklaus Golf,Realistic golf simulation featuring legendary golfer Jack Nicklaus and customizable course setups.,
Jaki Crush,"Wacky competitive action game with colorful characters and zany, physics-based battles.",
Jaleco Rally - Big Run: The Supreme 4WD Challenge,"Off-road rally racer with rugged terrain, timed stages, and 4WD handling.",
James Bond Jr.,License-based platformer with gadgets and action sequences inspired by the animated series.,
James Pond 3: Operation Starfish,Side-scrolling platformer featuring espionage-themed levels and playful aquatic missions.,
Jammes,(No widely accessible details found—likely a niche Japanese-exclusive title.),
Janyuuki - Gokuu Randa,Possibly a licensed or Japan-only anime tie-in; details scarce publicly.,
JB The Super Bass,Fishing sim emphasizing competitive bass tournaments and realistic gear mechanics.,
Jelly Boy,"Platformer where you control a jelly-like creature through colorful, stretchy environments with physics-driven puzzles.",
Jeopardy!,Classic quiz game adapting the TV show; answer in the form of a question across various categories.,
Jeopardy! Deluxe Edition,Enhanced Jeopardy! version with additional question packs and improved visuals.,
Jeopardy! Sports Edition,Sports-focused edition of the Jeopardy! quiz game with athletic trivia themes.,
Jerry Boy | Smart Ball,Platform-puzzle hybrid where Jerry navigates intricate levels solving shape-based challenges.,
Jewel of Live,Adventure or RPG with gem-themed mechanics; specifics limited due to obscurity.,
Jikkyou Oshaberi Parodius,Chaotic shoot-’em-up parodying the Parodius series with humorous power-ups and eclectic enemy waves.,
Jikkyou Power Pro Wrestling '96 - Max Voltage,Pro-wrestling game featuring dynamic matches and a roster of colorful wrestlers.,
Jikkyou Powerful Pro Yakyuu '94,"Baseball sim with “super deformed” player models, deep team management, and season play.",
Jikkyou Powerful Pro Yakyuu '96 - Kaimaku Ban,"Updated baseball sim with new teams, refined gameplay, and season mode enhancements.",
Jikkyou Powerful Pro Yakyuu - Basic Ban '98,Streamlined 1998 edition of the baseball sim with core management features.,
Jikkyou Powerful Pro Yakyuu 2,"Sequel expanding team rosters, player stats, and simulation depth.",
Jikkyou Powerful Pro Yakyuu 3,Further refined baseball sim with improved AI and extended career mode.,
Jikkyou Powerful Pro Yakyuu 3 - '97 Haru,Spring 1997 version adding updated rosters and seasonal events.,
Jim Power: The Lost Dimension in 3-D,"Sci-fi platformer with layered backgrounds and time-travel level design, playable in pseudo-3D.",
Jimmy Connors Pro Tennis Tour,Realistic tennis sim featuring pro Jimmy Connors and tournament-style gameplay.,
Jimmy Houston's Bass Tournament U.S.A.,Fishing tournament sim starring pro angler Jimmy Houston across U.S. lakes.,
Jirou Akagawa: Majotachi no Nemuri,Mystery adventure game based on novels by Akagawa—solve supernatural whodunits.,
Jissen Bass Fishing Hisshouhou in USA,Fishing sim offering tips and guided experiences on American bass waters.,
Jissen Kyoutei,Boat race (kyōtei) betting simulation with real-world logic and race mechanics.,
Jissen Pachi-Slot Hisshouhou! Twin,Pachislot simulation focusing on dual-machine strategy and Japanese casino mechanics.,
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2,Sequel expanding available slot machines and player customization tools.,
Jissen Pachinko Hisshouhou! 2,Pachinko simulation with improved physics and expanded machine lineup.,
Jissen! Mahjong Shinan,Mahjong trainer offering instruction and strategy for serious players.,
Jissen! Pachi-Slot Hisshouhou!,Base pachislot trainer teaching optimal betting and machine behavior.,
Jissen! Pachi-Slot Hisshouhou! 2,Second volume providing advanced strategies in slot simulation.,
Jissen! Pachi-Slot Hisshouhou! 3 Yamasa Densetsu,Pachislot sim featuring Yamasa machines and legendary Japanese slot gameplay.,
Jissen! Pachi-Slot Hisshouhou! Classic,Classic slot machine simulator with retro themes.,
Joe & Mac 2: Lost in the Tropics,Remake-style action-platformer where cavemen siblings fight dinosaurs with humorous weapons.,
Joe & Mac: Caveman Ninja,Original run‑and‑gun platformer where cavemen use clubs and fire to save kidnapped villagers.,
John Madden Football,Foundational American football sim featuring authentic rules and Madden commentary.,
John Madden Football '93,"Updated version with better graphics, updated rosters, and refined controls.",
JoJo no Kimyou na Bouken,"Beat‑’em‑up based on JoJo's Bizarre Adventure, featuring stylized poses and arcane powers.",
Joushou Mahjong Tenpai,Competitive mahjong sim with tenpai training and multiplayer duels.,
Judge Dredd,"Action-platformer based on the comic, featuring Judge Dredd fighting crime in Mega-City One.",
Jumpin' Derby,Quirky platformer involving hopping obstacles and timed challenges across cartoon levels.,
Jungle no Ouja Tar-chan: Sekai Manyuu Dai Kakutou no Maki,Action game based on anime Tar-chan with jungle combat and platforming.,
Jungle Strike,Sequel to Desert Strike—fly a helicopter in strategic combat missions around jungle landscapes.,
Jungle Wars 2: Kodai Mahou Atimos no Nazo,Fantasy action-platformer with magical powers and adventure.,
Jurassic Park,Action-adventure game based on the film—dinosaur encounters and park exploration.,
Jurassic Park 2: The Chaos Continues,Sequel with side-scrolling and top-down stages fighting escaped dinosaurs.,
Justice League Task Force,"2D fighting game starring DC heroes, combining fast combos and comic-style action.",
Jutei Senki,Tactical RPG with medieval themes and castle sieges in a fantasy setting.,
JWP Joshi Pro Wres - Pure Wrestle Queens,Women’s pro wrestling sim with anime-style wrestlers and over-the-top moves.,
Ka-blooey,Fast-paced puzzle game where you guide bombs through mazes to clear levels before time runs out.,
Kabuki Chou Reach Mahjong Tonpuusen,Mahjong tournament sim with a Kabuki-themed interface and competitive AI opponents.,
Kabuki Rocks,Rhythm action game where Kabuki actors dance and perform to music in theatrical stages.,
Kachiuma Yosou Soft - Baken Renkinjutsu,Fantasy prediction game mixing alchemy themes with strategic breeding mechanics.,
Kachou Shima Kousaku,Business sim following executive Shima Kousaku as he navigates corporate challenges through decisions.,
Kaia: Tsukikomori,Experimental visual novel exploring themes of social withdrawal and introspection through surreal storytelling.,
Kaite Tsukutte Asoberu Dezaemon,"Creative sandbox allowing players to draw, program, and play their own shooting and platform games.",
Kaizou Choujin Shubibinman Zero,Side-scrolling beat-’em-up with cybernetic heroes and over-the-top action.,
